psp_reference,merchant_account,transaction_date,invoice_number,dealership_name,mid,category,subcategory,payment_method,entry_mode,payment_product,amount,gross_amount,commission,net_amount,currency,payment_currency,settlement_currency,exchange_rate,status
PSP3814207687,AutoNationUS,2025-06-21,SMa-1001-2591,AutoNation Ford Miami,MID1001,Services,Maintenance,Card,MOTO,discover,6147.11,6147.11,3.42,6143.69,USD,USD,USD,1.0,Pending
PSP3285321225,AutoNationUS,2025-06-18,SNo-1001-1913,AutoNation Ford Miami,MID1001,Services,Non-Warranty,Card,POS,visa,4886.24,4886.24,1.58,4884.66,USD,USD,USD,1.0,Pending
PSP2279135525,AutoNationUS,2025-06-15,SMa-1005-8921,AutoNation BMW Seattle,MID1005,Services,Maintenance,MOTO,MOTO,visa,7804.49,7804.49,2.82,7801.67,USD,USD,USD,1.0,Pending
PSP8895544148,AutoNationUS,2025-06-28,SUs-1001-9022,AutoNation Ford Miami,MID1001,Sales,Used Cars,Card,POS,mc,9243.94,9243.94,1.08,9242.86,USD,USD,USD,1.0,Refunded
PSP1557186836,AutoNationUS,2025-06-15,PTr-1002-6521,AutoNation Toyota Austin,MID1002,Parts,Transmission,Card,MOTO,discover,6083.67,6083.67,1.75,6081.92,USD,USD,USD,1.0,Settled
PSP3004520645,AutoNationUS,2025-06-21,SNe-1003-1605,AutoNation Mercedes Dallas,MID1003,Sales,New Cars,MOTO,MOTO,mc,7542.84,7542.84,2.04,7540.8,USD,USD,USD,1.0,Pending
PSP7613591827,AutoNationUS,2025-06-17,SNe-1001-7436,AutoNation Ford Miami,MID1001,Sales,New Cars,MOTO,MOTO,visa,4579.55,4579.55,2.61,4576.94,USD,USD,USD,1.0,Refunded
PSP7359437475,AutoNationUS,2025-06-27,SUs-1001-2248,AutoNation Ford Miami,MID1001,Sales,Used Cars,Card,MOTO,mc,4776.48,4776.48,2.95,4773.53,USD,USD,USD,1.0,Pending
PSP1549712846,AutoNationUS,2025-06-15,SUs-1001-5105,AutoNation Ford Miami,MID1001,Sales,Used Cars,Card,POS,mc,3328.55,3328.55,2.28,3326.27,USD,USD,USD,1.0,Settled
PSP2440708486,AutoNationUS,2025-07-02,SMa-1001-1585,AutoNation Ford Miami,MID1001,Services,Maintenance,MOTO,MOTO,visa,9274.6,9274.6,2.86,9271.74,USD,USD,USD,1.0,Settled
PSP4188461971,AutoNationUS,2025-06-22,SNe-1002-5270,AutoNation Toyota Austin,MID1002,Sales,New Cars,Card,POS,visa,7338.16,7338.16,1.24,7336.92,USD,USD,USD,1.0,Pending
PSP8170154118,AutoNationUS,2025-06-14,SNe-1003-5988,AutoNation Mercedes Dallas,MID1003,Sales,New Cars,Card,POS,mc,4797.8,4797.8,1.29,4796.51,USD,USD,USD,1.0,Pending
PSP2246195065,AutoNationUS,2025-06-22,SUs-1003-4740,AutoNation Mercedes Dallas,MID1003,Sales,Used Cars,MOTO,POS,visa,7770.56,7770.56,2.69,7767.87,USD,USD,USD,1.0,Refunded
PSP6452113823,AutoNationUS,2025-06-07,SNe-1005-4380,AutoNation BMW Seattle,MID1005,Sales,New Cars,Card,MOTO,discover,7670.44,7670.44,1.04,7669.4,USD,USD,USD,1.0,Settled
PSP2616622455,AutoNationUS,2025-06-30,SNe-1004-5298,AutoNation Honda Phoenix,MID1004,Sales,New Cars,Card,POS,visa,4426.43,4426.43,2.64,4423.79,USD,USD,USD,1.0,Pending
PSP8614116868,AutoNationUS,2025-07-03,PEl-1004-6481,AutoNation Honda Phoenix,MID1004,Parts,Electrical,MOTO,POS,amex,6313.9,6313.9,1.38,6312.52,USD,USD,USD,1.0,Refunded
PSP4087459070,AutoNationUS,2025-06-26,PTr-1001-9572,AutoNation Ford Miami,MID1001,Parts,Transmission,Card,MOTO,visa,1936.95,1936.95,3.26,1933.69,USD,USD,USD,1.0,Refunded
PSP5191183203,AutoNationUS,2025-06-09,SNe-1001-6747,AutoNation Ford Miami,MID1001,Sales,New Cars,Card,MOTO,amex,4241.97,4241.97,2.77,4239.2,USD,USD,USD,1.0,Pending
PSP9827666556,AutoNationUS,2025-06-29,SNe-1004-1727,AutoNation Honda Phoenix,MID1004,Sales,New Cars,MOTO,POS,visa,6734.73,6734.73,1.8,6732.93,USD,USD,USD,1.0,Settled
PSP3359473644,AutoNationUS,2025-06-22,SWa-1001-8166,AutoNation Ford Miami,MID1001,Services,Warranty,Card,POS,visa,6105.12,6105.12,2.84,6102.28,USD,USD,USD,1.0,Settled
PSP3644878390,AutoNationUS,2025-06-10,PEn-1003-4368,AutoNation Mercedes Dallas,MID1003,Parts,Engine,Card,MOTO,mc,7684.88,7684.88,1.58,7683.3,USD,USD,USD,1.0,Refunded
PSP2718411982,AutoNationUS,2025-06-03,SMa-1004-2840,AutoNation Honda Phoenix,MID1004,Services,Maintenance,MOTO,POS,mc,8405.66,8405.66,2.77,8402.89,USD,USD,USD,1.0,Settled
PSP8251000465,AutoNationUS,2025-06-24,SUs-1005-9957,AutoNation BMW Seattle,MID1005,Sales,Used Cars,Card,POS,discover,8387.53,8387.53,2.5,8385.03,USD,USD,USD,1.0,Refunded
PSP1792167062,AutoNationUS,2025-06-18,SUs-1004-4271,AutoNation Honda Phoenix,MID1004,Sales,Used Cars,Card,MOTO,discover,2501.83,2501.83,2.66,2499.17,USD,USD,USD,1.0,Pending
PSP5032849890,AutoNationUS,2025-06-11,SNo-1005-8715,AutoNation BMW Seattle,MID1005,Services,Non-Warranty,Card,POS,mc,5205.42,5205.42,1.74,5203.68,USD,USD,USD,1.0,Refunded
PSP7031928749,AutoNationUS,2025-06-07,PTr-1002-3691,AutoNation Toyota Austin,MID1002,Parts,Transmission,MOTO,POS,mc,6865.68,6865.68,2.34,6863.34,USD,USD,USD,1.0,Settled
PSP6530778462,AutoNationUS,2025-06-23,PEl-1004-2762,AutoNation Honda Phoenix,MID1004,Parts,Electrical,Card,POS,mc,3817.4,3817.4,2.12,3815.28,USD,USD,USD,1.0,Refunded
PSP2423458028,AutoNationUS,2025-06-16,SWa-1001-2469,AutoNation Ford Miami,MID1001,Services,Warranty,MOTO,MOTO,discover,8940.84,8940.84,1.6,8939.24,USD,USD,USD,1.0,Refunded
PSP4468600774,AutoNationUS,2025-07-03,PTr-1003-4668,AutoNation Mercedes Dallas,MID1003,Parts,Transmission,Card,MOTO,mc,503.67,503.67,2.52,501.15,USD,USD,USD,1.0,Settled
PSP9331926287,AutoNationUS,2025-06-11,PEn-1002-1062,AutoNation Toyota Austin,MID1002,Parts,Engine,MOTO,POS,visa,4504.85,4504.85,1.09,4503.76,USD,USD,USD,1.0,Refunded
PSP8084689531,AutoNationUS,2025-06-05,SMa-1005-6121,AutoNation BMW Seattle,MID1005,Services,Maintenance,Card,POS,discover,8626.17,8626.17,2.48,8623.69,USD,USD,USD,1.0,Pending
PSP7580614873,AutoNationUS,2025-06-04,PEl-1004-5707,AutoNation Honda Phoenix,MID1004,Parts,Electrical,Card,MOTO,amex,9024.01,9024.01,2.61,9021.4,USD,USD,USD,1.0,Pending
PSP2489073786,AutoNationUS,2025-07-02,SWa-1004-8164,AutoNation Honda Phoenix,MID1004,Services,Warranty,MOTO,POS,amex,5476.97,5476.97,3.21,5473.76,USD,USD,USD,1.0,Settled
PSP6850286817,AutoNationUS,2025-06-28,SNo-1003-7423,AutoNation Mercedes Dallas,MID1003,Services,Non-Warranty,MOTO,MOTO,discover,6066.8,6066.8,2.44,6064.36,USD,USD,USD,1.0,Settled
PSP7893576258,AutoNationUS,2025-06-05,SNe-1001-5747,AutoNation Ford Miami,MID1001,Sales,New Cars,MOTO,MOTO,amex,1070.88,1070.88,1.55,1069.33,USD,USD,USD,1.0,Refunded
PSP7139779614,AutoNationUS,2025-06-07,PEn-1005-7462,AutoNation BMW Seattle,MID1005,Parts,Engine,Card,POS,mc,5126.55,5126.55,2.15,5124.4,USD,USD,USD,1.0,Settled
PSP9508325128,AutoNationUS,2025-06-08,PEn-1001-6419,AutoNation Ford Miami,MID1001,Parts,Engine,MOTO,POS,mc,4642.52,4642.52,1.64,4640.88,USD,USD,USD,1.0,Settled
PSP9778100354,AutoNationUS,2025-06-16,PEn-1004-6781,AutoNation Honda Phoenix,MID1004,Parts,Engine,Card,MOTO,amex,8581.08,8581.08,1.06,8580.02,USD,USD,USD,1.0,Settled
PSP4224512549,AutoNationUS,2025-06-20,PEn-1003-1848,AutoNation Mercedes Dallas,MID1003,Parts,Engine,MOTO,MOTO,visa,2237.11,2237.11,1.39,2235.72,USD,USD,USD,1.0,Pending
PSP5000362017,AutoNationUS,2025-07-01,PEl-1001-2570,AutoNation Ford Miami,MID1001,Parts,Electrical,Card,POS,visa,471.03,471.03,3.06,467.97,USD,USD,USD,1.0,Pending
PSP5809304327,AutoNationUS,2025-06-13,SWa-1003-7550,AutoNation Mercedes Dallas,MID1003,Services,Warranty,MOTO,MOTO,amex,5185.85,5185.85,1.6,5184.25,USD,USD,USD,1.0,Pending
PSP1931097629,AutoNationUS,2025-06-03,PEn-1005-6704,AutoNation BMW Seattle,MID1005,Parts,Engine,Card,POS,mc,7521.61,7521.61,3.06,7518.55,USD,USD,USD,1.0,Pending
PSP2120849960,AutoNationUS,2025-06-18,SWa-1002-3644,AutoNation Toyota Austin,MID1002,Services,Warranty,MOTO,MOTO,mc,5592.86,5592.86,1.19,5591.67,USD,USD,USD,1.0,Settled
PSP8358732379,AutoNationUS,2025-06-20,SUs-1004-6322,AutoNation Honda Phoenix,MID1004,Sales,Used Cars,Card,MOTO,mc,1947.57,1947.57,3.29,1944.28,USD,USD,USD,1.0,Pending
PSP5617927888,AutoNationUS,2025-06-11,PEl-1002-6056,AutoNation Toyota Austin,MID1002,Parts,Electrical,MOTO,POS,discover,8954.49,8954.49,3.04,8951.45,USD,USD,USD,1.0,Pending
PSP9411579400,AutoNationUS,2025-06-17,SMa-1005-4121,AutoNation BMW Seattle,MID1005,Services,Maintenance,Card,MOTO,amex,8257.15,8257.15,3.43,8253.72,USD,USD,USD,1.0,Refunded
PSP1770089883,AutoNationUS,2025-06-17,SWa-1005-8940,AutoNation BMW Seattle,MID1005,Services,Warranty,MOTO,POS,mc,2758.71,2758.71,3.17,2755.54,USD,USD,USD,1.0,Settled
PSP2842647019,AutoNationUS,2025-06-05,SWa-1005-4521,AutoNation BMW Seattle,MID1005,Services,Warranty,MOTO,POS,mc,3352.9,3352.9,2.13,3350.77,USD,USD,USD,1.0,Pending
PSP2782266337,AutoNationUS,2025-06-21,PEn-1001-3465,AutoNation Ford Miami,MID1001,Parts,Engine,MOTO,POS,mc,3071.33,3071.33,3.49,3067.84,USD,USD,USD,1.0,Refunded
PSP7330989339,AutoNationUS,2025-06-11,SNe-1001-3559,AutoNation Ford Miami,MID1001,Sales,New Cars,Card,MOTO,mc,4135.52,4135.52,2.47,4133.05,USD,USD,USD,1.0,Pending
PSP3910146718,AutoNationUS,2025-06-05,SWa-1005-6229,AutoNation BMW Seattle,MID1005,Services,Warranty,Card,POS,discover,3999.82,3999.82,3.44,3996.38,USD,USD,USD,1.0,Pending
PSP4482261744,AutoNationUS,2025-06-11,SUs-1001-9505,AutoNation Ford Miami,MID1001,Sales,Used Cars,MOTO,MOTO,mc,4261.71,4261.71,2.64,4259.07,USD,USD,USD,1.0,Pending
PSP3419824176,AutoNationUS,2025-06-27,SMa-1004-5838,AutoNation Honda Phoenix,MID1004,Services,Maintenance,MOTO,POS,mc,4400.02,4400.02,2.46,4397.56,USD,USD,USD,1.0,Settled
PSP1239425269,AutoNationUS,2025-06-19,SUs-1002-2637,AutoNation Toyota Austin,MID1002,Sales,Used Cars,Card,POS,mc,9610.57,9610.57,1.22,9609.35,USD,USD,USD,1.0,Refunded
PSP9128561424,AutoNationUS,2025-06-03,SNe-1002-8762,AutoNation Toyota Austin,MID1002,Sales,New Cars,Card,POS,amex,6022.78,6022.78,2.1,6020.68,USD,USD,USD,1.0,Settled
PSP8406682707,AutoNationUS,2025-06-20,PEl-1003-1217,AutoNation Mercedes Dallas,MID1003,Parts,Electrical,Card,MOTO,visa,2719.38,2719.38,3.47,2715.91,USD,USD,USD,1.0,Refunded
PSP2000705689,AutoNationUS,2025-06-29,SNe-1002-1519,AutoNation Toyota Austin,MID1002,Sales,New Cars,MOTO,POS,amex,9338.67,9338.67,3.13,9335.54,USD,USD,USD,1.0,Settled
PSP6405571486,AutoNationUS,2025-06-16,PTr-1004-7045,AutoNation Honda Phoenix,MID1004,Parts,Transmission,MOTO,POS,visa,272.63,272.63,2.88,269.75,USD,USD,USD,1.0,Pending
PSP3046950329,AutoNationUS,2025-06-12,SWa-1005-1682,AutoNation BMW Seattle,MID1005,Services,Warranty,MOTO,MOTO,mc,8275.18,8275.18,1.01,8274.17,USD,USD,USD,1.0,Settled
PSP6689593902,AutoNationUS,2025-06-10,SNe-1005-4284,AutoNation BMW Seattle,MID1005,Sales,New Cars,MOTO,MOTO,mc,9852.69,9852.69,3.07,9849.62,USD,USD,USD,1.0,Settled
PSP7429390715,AutoNationUS,2025-06-04,SMa-1003-4589,AutoNation Mercedes Dallas,MID1003,Services,Maintenance,MOTO,POS,discover,7747.0,7747.0,2.07,7744.93,USD,USD,USD,1.0,Pending
PSP4456749210,AutoNationUS,2025-06-28,PEn-1001-7160,AutoNation Ford Miami,MID1001,Parts,Engine,MOTO,MOTO,amex,5588.69,5588.69,1.21,5587.48,USD,USD,USD,1.0,Refunded
PSP2039884935,AutoNationUS,2025-06-29,PTr-1004-9637,AutoNation Honda Phoenix,MID1004,Parts,Transmission,Card,MOTO,mc,8175.73,8175.73,3.05,8172.68,USD,USD,USD,1.0,Pending
PSP1658211855,AutoNationUS,2025-07-01,SUs-1003-9703,AutoNation Mercedes Dallas,MID1003,Sales,Used Cars,Card,POS,amex,620.36,620.36,1.5,618.86,USD,USD,USD,1.0,Settled
PSP3402556946,AutoNationUS,2025-06-22,SWa-1001-2960,AutoNation Ford Miami,MID1001,Services,Warranty,MOTO,POS,amex,6865.63,6865.63,2.23,6863.4,USD,USD,USD,1.0,Pending
PSP9177120986,AutoNationUS,2025-06-27,PEl-1004-9340,AutoNation Honda Phoenix,MID1004,Parts,Electrical,Card,MOTO,mc,7888.82,7888.82,1.86,7886.96,USD,USD,USD,1.0,Settled
PSP4882352686,AutoNationUS,2025-06-18,SNe-1004-8326,AutoNation Honda Phoenix,MID1004,Sales,New Cars,MOTO,MOTO,mc,225.52,225.52,2.91,222.61,USD,USD,USD,1.0,Pending
PSP8131687811,AutoNationUS,2025-06-22,SMa-1004-4441,AutoNation Honda Phoenix,MID1004,Services,Maintenance,MOTO,MOTO,amex,4802.28,4802.28,1.3,4800.98,USD,USD,USD,1.0,Refunded
PSP9495390275,AutoNationUS,2025-06-29,PEl-1004-3189,AutoNation Honda Phoenix,MID1004,Parts,Electrical,MOTO,MOTO,amex,1078.32,1078.32,2.35,1075.97,USD,USD,USD,1.0,Refunded
PSP8012996288,AutoNationUS,2025-06-09,SUs-1004-3462,AutoNation Honda Phoenix,MID1004,Sales,Used Cars,Card,MOTO,mc,6211.28,6211.28,1.52,6209.76,USD,USD,USD,1.0,Settled
PSP8117093575,AutoNationUS,2025-06-18,PEl-1004-1970,AutoNation Honda Phoenix,MID1004,Parts,Electrical,Card,MOTO,visa,4651.5,4651.5,2.97,4648.53,USD,USD,USD,1.0,Refunded
PSP8770415338,AutoNationUS,2025-07-02,SUs-1005-1835,AutoNation BMW Seattle,MID1005,Sales,Used Cars,Card,POS,mc,3248.98,3248.98,3.48,3245.5,USD,USD,USD,1.0,Refunded
PSP5970537786,AutoNationUS,2025-06-14,SNo-1002-8002,AutoNation Toyota Austin,MID1002,Services,Non-Warranty,MOTO,POS,discover,7583.04,7583.04,3.37,7579.67,USD,USD,USD,1.0,Pending
PSP8296494661,AutoNationUS,2025-07-03,SUs-1001-1499,AutoNation Ford Miami,MID1001,Sales,Used Cars,Card,POS,amex,5182.16,5182.16,1.93,5180.23,USD,USD,USD,1.0,Pending
PSP4266169530,AutoNationUS,2025-06-22,SNo-1005-9919,AutoNation BMW Seattle,MID1005,Services,Non-Warranty,Card,MOTO,mc,5399.89,5399.89,3.07,5396.82,USD,USD,USD,1.0,Pending
PSP4463228033,AutoNationUS,2025-06-10,PEl-1004-4132,AutoNation Honda Phoenix,MID1004,Parts,Electrical,MOTO,POS,discover,415.46,415.46,1.14,414.32,USD,USD,USD,1.0,Pending
PSP6180597681,AutoNationUS,2025-07-03,SUs-1004-7594,AutoNation Honda Phoenix,MID1004,Sales,Used Cars,Card,MOTO,visa,908.0,908.0,1.52,906.48,USD,USD,USD,1.0,Settled
PSP3524712673,AutoNationUS,2025-06-29,PTr-1001-7596,AutoNation Ford Miami,MID1001,Parts,Transmission,MOTO,MOTO,mc,9531.69,9531.69,1.6,9530.09,USD,USD,USD,1.0,Settled
PSP7644461387,AutoNationUS,2025-06-12,SNe-1005-6167,AutoNation BMW Seattle,MID1005,Sales,New Cars,MOTO,POS,amex,2565.45,2565.45,3.15,2562.3,USD,USD,USD,1.0,Refunded
PSP7248665354,AutoNationUS,2025-07-02,SUs-1003-9615,AutoNation Mercedes Dallas,MID1003,Sales,Used Cars,MOTO,POS,mc,4780.39,4780.39,1.96,4778.43,USD,USD,USD,1.0,Pending
PSP2229516505,AutoNationUS,2025-06-27,SUs-1005-9544,AutoNation BMW Seattle,MID1005,Sales,Used Cars,Card,MOTO,mc,3311.33,3311.33,1.77,3309.56,USD,USD,USD,1.0,Pending
PSP3526641515,AutoNationUS,2025-06-26,SUs-1001-9960,AutoNation Ford Miami,MID1001,Sales,Used Cars,Card,POS,mc,664.56,664.56,2.28,662.28,USD,USD,USD,1.0,Pending
PSP4555934362,AutoNationUS,2025-06-05,PEn-1004-5614,AutoNation Honda Phoenix,MID1004,Parts,Engine,Card,POS,mc,7871.46,7871.46,3.4,7868.06,USD,USD,USD,1.0,Settled
PSP3942003087,AutoNationUS,2025-06-30,PEn-1005-6321,AutoNation BMW Seattle,MID1005,Parts,Engine,Card,POS,mc,9044.8,9044.8,1.48,9043.32,USD,USD,USD,1.0,Settled
PSP1259540230,AutoNationUS,2025-06-14,SUs-1002-4764,AutoNation Toyota Austin,MID1002,Sales,Used Cars,MOTO,MOTO,visa,7426.32,7426.32,2.16,7424.16,USD,USD,USD,1.0,Pending
PSP2210948993,AutoNationUS,2025-06-26,SWa-1004-1621,AutoNation Honda Phoenix,MID1004,Services,Warranty,Card,MOTO,discover,7690.91,7690.91,1.44,7689.47,USD,USD,USD,1.0,Pending
PSP4793450469,AutoNationUS,2025-06-17,SNe-1002-7303,AutoNation Toyota Austin,MID1002,Sales,New Cars,Card,MOTO,discover,2705.67,2705.67,2.94,2702.73,USD,USD,USD,1.0,Refunded
PSP3062828766,AutoNationUS,2025-06-06,SMa-1002-5790,AutoNation Toyota Austin,MID1002,Services,Maintenance,MOTO,MOTO,amex,9331.32,9331.32,1.68,9329.64,USD,USD,USD,1.0,Settled
PSP1516169249,AutoNationUS,2025-06-14,SNe-1002-8432,AutoNation Toyota Austin,MID1002,Sales,New Cars,MOTO,POS,discover,4407.81,4407.81,2.96,4404.85,USD,USD,USD,1.0,Settled
PSP9729238702,AutoNationUS,2025-06-30,SWa-1002-9141,AutoNation Toyota Austin,MID1002,Services,Warranty,MOTO,POS,mc,4904.14,4904.14,3.22,4900.92,USD,USD,USD,1.0,Refunded
PSP2561398670,AutoNationUS,2025-06-10,SUs-1003-4650,AutoNation Mercedes Dallas,MID1003,Sales,Used Cars,Card,MOTO,visa,4094.23,4094.23,2.31,4091.92,USD,USD,USD,1.0,Pending
PSP9637217469,AutoNationUS,2025-06-10,PEl-1001-4144,AutoNation Ford Miami,MID1001,Parts,Electrical,Card,POS,discover,2809.9,2809.9,2.79,2807.11,USD,USD,USD,1.0,Pending
PSP4797230434,AutoNationUS,2025-06-28,SNo-1002-5627,AutoNation Toyota Austin,MID1002,Services,Non-Warranty,MOTO,POS,amex,5841.25,5841.25,1.94,5839.31,USD,USD,USD,1.0,Settled
PSP1557614657,AutoNationUS,2025-06-08,PTr-1001-2888,AutoNation Ford Miami,MID1001,Parts,Transmission,Card,MOTO,discover,3202.9,3202.9,2.92,3199.98,USD,USD,USD,1.0,Refunded
PSP6531704836,AutoNationUS,2025-06-15,SNe-1003-6274,AutoNation Mercedes Dallas,MID1003,Sales,New Cars,MOTO,MOTO,mc,3166.86,3166.86,1.21,3165.65,USD,USD,USD,1.0,Settled
PSP8916851677,AutoNationUS,2025-06-10,SMa-1002-6726,AutoNation Toyota Austin,MID1002,Services,Maintenance,MOTO,POS,visa,6688.79,6688.79,2.25,6686.54,USD,USD,USD,1.0,Pending
PSP9493726664,AutoNationUS,2025-06-30,SNo-1004-1112,AutoNation Honda Phoenix,MID1004,Services,Non-Warranty,Card,MOTO,amex,5027.0,5027.0,3.2,5023.8,USD,USD,USD,1.0,Settled
PSP4519200169,AutoNationUS,2025-06-09,SNe-1005-6472,AutoNation BMW Seattle,MID1005,Sales,New Cars,Card,MOTO,visa,8631.1,8631.1,2.99,8628.11,USD,USD,USD,1.0,Refunded
PSP7950804836,AutoNationUS,2025-06-11,SNe-1001-1945,AutoNation Ford Miami,MID1001,Sales,New Cars,MOTO,MOTO,amex,7507.18,7507.18,3.35,7503.83,USD,USD,USD,1.0,Pending
PSP6455341781,AutoNationUS,2025-07-02,SNe-1002-7561,AutoNation Toyota Austin,MID1002,Sales,New Cars,Card,POS,discover,8639.4,8639.4,1.49,8637.91,USD,USD,USD,1.0,Settled
PSP2643393954,AutoNationUS,2025-06-12,PEn-1001-3602,AutoNation Ford Miami,MID1001,Parts,Engine,Card,MOTO,mc,567.01,567.01,2.55,564.46,USD,USD,USD,1.0,Settled
PSP1800445755,AutoNationUS,2025-06-08,SUs-1003-6796,AutoNation Mercedes Dallas,MID1003,Sales,Used Cars,MOTO,POS,amex,432.24,432.24,3.16,429.08,USD,USD,USD,1.0,Settled
PSP2559240401,AutoNationUS,2025-06-24,PTr-1003-2861,AutoNation Mercedes Dallas,MID1003,Parts,Transmission,MOTO,MOTO,discover,6761.45,6761.45,1.35,6760.1,USD,USD,USD,1.0,Refunded
